Episode;Title;Votes;Rating;Airdate
1;I'm Luffy! The Man Who Will Become the Pirate King!;2710;7.6;20/10/1999
2;The Great Swordsman Appears! Pirate Hunter, Roronoa Zoro;1570;7.7;17/11/1999
3;Morgan vs. Luffy! Who's This Beautiful Young Girl?;1279;7.6;24/11/1999
4;Luffy's Past! The Red-haired Shanks Appears!;1648;8.3;08/12/1999
5;Fear, Mysterious Power! Pirate Clown Captain Buggy!;1103;7.4;15/12/1999
6;Desperate Situation! Beast Tamer Mohji vs. Luffy!;1085;7.6;29/12/1999
7;Sozetsu Ketto! Kengo Zoro VS Kyokugei no Kabaji!;1030;7.6;29/12/1999
8;Shousha wa docchi? Akuma no mi no nouryoku taiketsu!;1001;7.7;29/12/1999
9;Seigi no usotsuki? Kyaputen Usoppu;965;7.1;12/01/2000
10;Chijou saikyou no hen na yatsu! Saiminjutsushi Jango;927;7.4;19/01/2000
11;Inbou o abake! Kaizoku shitsuji Kyaputen Kuro;893;7.3;26/01/2000
12;Gekitotsu! Kuroneko kaizokudan sakamichi no daikoubou!;877;7.6;02/02/2000
13;Kyoufu no futarigumi! Nyâban kyoudai vs Zoro;854;7.6;09/02/2000
14;Rufi fukkatsu! Kaya ojousama no kesshi no taikou;837;7.6;16/02/2000
15;Kuro o taose! Otoko Usoppu namida no ketsui!;830;7.4;23/02/2000
16;Kaya o mamore! Usoppu kaizokudan daikatsuyaku!;811;7.6;01/03/2000
17;Ikari bakuhatsu! Kuro vs Rufi kecchaku no yukue!;867;8.0;08/03/2000
18;Anta ga chunjuu! Gaimon to kimyou na nakama;815;6.9;15/03/2000
19;Santouryuu no kako! Zoro to Kuina no chikai!;1983;8.9;22/03/2000
20;Meibutsu kokku! Kaijou resutoran no Sanji;795;7.6;12/04/2000
21;Manukarezaru kyaku! Sanji no meshi to Gin on;765;7.5;12/04/2000
22;Saikyou no kaizoku kantai! Teitoku Don Kurîku;741;7.5;26/04/2000
23;Mamore Baratie! Daikaizoku akaashi no Zefu;748;7.7;03/05/2000
24;Tama no me no Mihôku! Kenzoku Zoro umi ni chiru;2315;9.1;10/05/2000
25;Hissatsu ashiwaza sakuretsu! Sanji vs Teppeki no Pâru;737;7.5;17/05/2000
26;Zefu to Sanji no yume Maboroshi no ôru burû;1260;8.5;24/05/2000
27;Reitetsu hijou no kijin Kaizoku kantai soutaichou Gin;733;7.5;31/05/2000
28;Shinaneeyo! Gekitou Rufi vs Kurîku!;724;7.6;07/06/2000
29;Shitou no Ketchaku! Hara ni Kukutta Ippon no Yari!;724;7.8;21/06/2000
30;Tabidachi! Umi no kokku wa Rufi to tomoni;845;8.2;28/06/2000
31;Higashi no Umi Saiaku no Otoko! Gyojin Kaizoku Arlong!;701;7.6;12/08/2000
32;Cocoyashi Mura no Majo! Arlong no Onna Kanbu;687;7.7;19/08/2000
33;Usopp Shisu?! Luffy Jouriku wa Mada?;779;7.8;19/08/2000
34;Zen'in Shuuketsu! Usopp ga Kataru Nami no Shinjitsu;770;7.4;26/08/2000
35;Himerareta Kako! Onna Senshi Bell-mere!;815;8.0;02/08/2000
36;Ikinuke! Haha Bellemere to Nami no Kizuna!;1879;8.9;09/08/2000
37;Luffy Tatsu! Uragirareta Yakusoku no Ketsumatsu!;2320;9.1;16/08/2000
38;Luffy Dai Pinch! Gyojin Tai Luffy Kaizokudan;821;8.1;23/08/2000
39;Luffy Suibotsu! Zoro vs Tako no Hacchan;777;8.0;30/08/2000
40;Hokoritakaki Senshi! Gekitou Sanji to Usopp;777;8.0;06/09/2000
41;Luffy Zenkai! Nami no Ketsui to Mugiwara Boushi;767;8.0;13/09/2000
42;Sakuretsu! Gyojin Arlong Umi kara no Moukougeki!;754;8.0;27/09/2000
43;Gyojin Teikoku no Owari! Nami wa Ore no Nakama Da!;1235;8.5;27/09/2000
44;Egao no Tabidachi! Saraba Furusato Cocoyashi Mura;753;7.8;11/10/2000
45;Joukinkubi! Mugiwara no Luffy Yo ni Shirewataru;684;7.7;25/10/2000
46;Mugiwara o Oe! Chiisana Buggy no Daibouken;736;6.3;01/11/2000
47;Omachikane! Aa Fukkatsu no Buggy Senchou!;739;6.1;08/11/2000
48;Hajimari to Owari no Machi: Loguetown Jouriku;739;7.8;22/11/2000
49;Sandai Kitetsu to Yubashiri! Zoro no Shintou to Onna Souchou;778;7.9;22/11/2000
50;Usopp Tai Kozure no Daddy: Mahiru no Kettou;691;7.4;29/11/2000
51;Honoo no Ryouri Battle? Sanji VS Bijin Chef;619;6.8;06/12/2000
52;Buggy no Revenge! Shokeidai de Warau Otoko!;717;8.2;13/12/2000
53;Densetsu wa Hajimatta! Mezase Grand Line;1008;8.4;10/01/2001
54;Aratanaru Bouken no Yokan! Nazo no Shoujo Apis;581;7.0;17/01/2001
55;Kiseki no Seibutsu! Apis no Himitsu to Densetsu no Shima;581;6.7;24/01/2001
56;Eric Shutsugeki! Gunkanjima kara no Daidasshutsu!;575;6.6;31/01/2001
57;Zekkai no Kotou! Densetsu no Lost Island;565;6.5;07/02/2001
58;Haikyo no Kettou! Kinpaku no Zoro VS Erik!;552;6.6;21/02/2001
59;Luffy Kanzen Houi! Teitoku Nelson no Hisaku;539;6.9;21/02/2001
60;Oozora o Mau Mono! Yomigaeru Sennen no Densetsu!;535;7.0;28/02/2001
61;Ikari no Kecchaku! Red Line o Norikoero!;544;7.5;07/03/2001
62;Saisho no Toride? Kyodai Kujira Laboon Arawaru;635;7.6;21/03/2001
63;Otoko no Yakusoku! Luffy to Kujira Saikai no Chikai;631;7.4;21/03/2001
64;Kaizoku Kangei no Machi? Whiskey Peak Jouriku;571;7.6;15/04/2001
65;Sakuretsu Santouryuu! Zoro VS Baroque Works!;642;8.1;15/04/2001
66;Shinken Shoubu! Luffy VS Zoro Nazo no Daikettou!;610;8.0;22/04/2001
67;Oujo Vivi o Todokero! Luffy Kaizoku Dan Shukkou;571;7.8;29/04/2001
68;Ganbare Coby! Coby-Meppo Kaigun Funtou Ki;601;6.7;13/05/2001
69;Coby-Meppo no Ketsui! Garp Chuujou no Oyagokoro;599;6.7;20/05/2001
70;Taiko no Shima! Little Garden ni Hisomu Kage!;591;7.1;27/05/2001
71;Dekkai Kettou! Kyojin Dorry to Brogy;599;7.3;03/06/2001
72;Luffy Ikaru! Seinaru Kettou ni Hiretsu na Wana!;580;7.3;17/06/2001
73;Brogy Shouri no Goukyuu! Elbaf no Kecchaku;578;7.4;24/06/2001
74;Ma no Candle! Munen no Namida to Ikari no Namida;585;7.6;15/08/2001
75;Luffy o Osou Maryoku! Colors Trap;570;7.6;12/08/2001
76;Iza Hangeki! Usopp no Kiten to Kaenboshi!;573;7.6;19/08/2001
77;Saraba Kyojin no Shima! Arabasuta o Mezase;577;7.5;19/08/2001
78;Nami ga Byouki? Umi ni Furu Yuki no Mukou ni!;578;7.2;26/08/2001
79;Kishuu! Bliking Gou to Blik no Wapol;563;7.6;02/09/2001
80;Isha no Inai Shima? Na mo Naki Kuni no Bouken!;560;7.6;09/09/2001
81;Happy kai? Majo to Yobareta Isha!;542;7.6;16/09/2001
82;Dolton no Kakugo! Wapol Gundan Shima ni Jouriku;548;7.6;07/10/2001
83;Yuki no Sumu Shima! Drum-Rocky o Nobore!;623;7.9;07/10/2001
84;Tonakai wa Aoppana! Chopper no Himitsu;581;7.8;21/10/2001
85;Hamidashi Mono no Yume! Yabuisha Hiluluk!;961;8.4;28/10/2001
86;Hiluluk no Sakura to Uketsugareyuku Ishi!;2041;9.2;04/11/2001
87;Versus Wapol Gundan! Bakubaku no Mi no Nouryoku!;589;7.9;11/11/2001
88;Zoan-kei Akuma no Mi! Chopper Nanadan Henkei;560;7.7;18/11/2001
89;Oukoku no Shihai Owaru Toki! Shinnen no Hata wa Eien ni;549;7.7;25/11/2001
90;Hiluluk no Sakura! Drum Rocky no Kiseki;1432;8.7;02/12/2001
91;Sayonara Drum-tou! Boku wa Umi e Deru!;561;7.9;09/12/2001
92;Arabasta no Eiyuu to Senjou no Ballerina;557;7.6;09/12/2001
93;Iza Sabaku no Kuni e! Ame o Yobu Kona to Hanrangun;550;7.2;16/12/2001
94;Gouketsu-tachi no Saikai! Yatsu no Na wa Hiken no Ace;1692;8.9;23/12/2001
95;Ace to Luffy! Atsuki Omoi to Kyoudai no Kizuna;604;8.1;06/01/2002
96;Midori no Machi Erumaru to Kung Fu Jugon!;544;7.3;13/01/2002
97;Suna no Kuni no Bouken! Ennetsu no Daichi ni Sumu Mamono;527;7.3;20/01/2002
98;Sabaku no Kaizokudan Toujou! Jiyuu ni Ikiru Otoko-tachi;502;7.0;27/01/2002
99;Nisemono no Iji! Kokoro no Hanrangun Kamyu!;479;7.0;03/02/2002
100;Hanrangun Senshi Kouza! Vivi ni Chikatta Yume!;512;7.5;10/02/2002
101;Kagerou no Kettou! Ace vs Otoko Scorpion;490;6.8;17/02/2002
102;Iseki to Mayoigo! Vivi to Nakama to Kuni no Katachi;450;7.0;24/02/2002
103;Spiders Cafe ni 8-ji Teki Kanbu Shuugou;488;7.4;03/03/2002
104;Luffy Tai Vivi! Nakama ni Kakeru Namida no Chikai;508;7.9;10/03/2002
105;Alabasta Sensen! Yume no Machi Rainbase;488;7.8;17/03/2002
106;Zettai Zetsumei no Wana! Rain Dinners Totsunyuu;500;8.1;24/03/2002
107;Utopia Sakusen Hatsudou! Ugokidashita Uneri;488;8.0;14/04/2002
108;Kyoufu no Bananawani to Mr. Prince;507;8.1;21/04/2002
109;Gyakuten Dai Dasshutsu e no Kagi! Doru-Doru Ball!;819;8.3;28/04/2002
110;Nasake Muyou no Shitou! Luffy vs Crocodile;1766;9.1;05/05/2002
111;Kiseki e no Shissou! Arabasta Doubutsu Land;520;7.8;12/05/2002
112;Hanrangun Tai Kokuougun! Kessen wa Alubarna!;527;8.0;19/05/2002
113;Nageki no Alubarna! Gekitou Carue Taichou!;505;7.7;02/06/2002
114;Nakama no Yume ni Chikau! Kettou Mogurazuka 4-bangai;515;7.8;09/06/2002
115;Honjitsu Daikoukai! Mane-Mane Montage!;529;8.0;16/06/2002
116;Nami ni Henshin! Bon Clay Renpatsu Ballet Kenpou;508;7.9;23/06/2002
117;Nami no Senpuu Chuuihou! Clima Takt Sakuretsu;514;7.8;30/06/2002
118;Ouke ni Tsutawaru Himitsu! Kodai Heiki Pluton;507;7.7;14/08/2002
119;Gouken no Gokui! Koutetsu o Kiru Chikara to Mono no Kokyuu;1813;9.1;21/08/2002
120;Tatakai wa Owatta! Kooza ga Kakageta Shiroi Hata;512;7.9;04/08/2002
121;Vivi no Koe no Yukue! Hero wa Maiorita!;791;8.3;11/08/2002
122;Suna Wani to Mizu Luffy! Kettou Dai 2 Round;1339;8.8;18/08/2002
123;Wanippoi! Ouke no Haka e Hashire Luffy!;524;8.1;25/08/2002
124;Akumu no Toki Semaru! Koko wa Sunasunadan Himitsu Kichi;514;8.0;01/09/2002
125;Idainaru Tsubasa! Waga Na wa Kuni no Shugoshin Pell;1557;9.0;08/09/2002
126;Koeteiku! Arabasta ni Ame ga Furu!;2297;9.4;15/09/2002
127;Buki yo Saraba! Kaizoku to Ikutsuka no Seigi;519;8.0;06/10/2002
128;Kaizoku-tachi no Utage to Arabasta Dasshutsu Sakusen!;506;8.0;06/10/2002
129;Hajimari wa Ano Hi! Vivi ga Kataru Boukentan!;1734;9.1;20/10/2002
130;Kiken na Kaori! Shichininme wa Nico Robin!;1106;8.6;27/10/2002
131;Hajimete no Kranke! Rumble Ball Hiwa;429;7.0;03/11/2002
132;Koukaishi no Hanran! Yuzurenai Yume no Tame ni!;427;6.6;10/11/2002
133;Uketsugareru Recipe! Curry no Tetsujin Sanji;408;6.8;17/11/2002
134;Sakasete Misemasu! Otoko Usopp Hasshakudama;413;6.8;24/11/2002
135;Uwasa no Kaizokugari! Sasurai no Kenshi Zoro;386;7.0;01/12/2002
136;Yagi no Shima no Zenny to Yama no Naka no Kaizokusen!;412;6.5;08/12/2002
137;Moukarimakka? Kanekashi Zenny no Yabou!;402;6.7;15/12/2002
138;Shima no Otakara no Yukue! Zenny Kaizokudan Shutsugeki!;406;6.5;22/12/2002
139;Niji-iro no Kiri Densetsu! Ruluka Tou no Roujin Henzo;380;6.9;05/01/2003
140;Eien no Kuni no Juunin! Pumpkin Kaizokudan!;384;6.8;12/01/2003
141;Furusato e no Omoi! Dasshutsu Funou no Kaizoku Hakaba!;380;6.7;19/01/2003
142;Ransen Hisshi! Wetton no Yabou to Niji no Tou;383;6.7;26/01/2003
143;Soshite Densetsu ga Hajimaru! Iza Niji no Kanata e;386;7.5;02/02/2003
144;Ubawareta Log! Salvage-ou Mashira!;451;7.2;09/02/2003
145;Kaibutsu Toujou! Shirohige Ichimi ni wa Te o Dasuna;459;7.5;16/02/2003
146;Yume o Miruna! Azakeri no Machi Mock Town!;478;8.0;23/02/2003
147;Kaizoku no Takami! Yume o Kataru Otoko to Kaitei Tansaku Ou;473;7.7;09/03/2003
148;"Densetsu no Ichizoku! ""Usotsuki Norland""";442;7.6;16/03/2003
149;Kumo Kaji Ippai! Southbird o Oe!;433;7.4;23/03/2003
150;Yume wa Kanawanai!? Bellamy VS Saruyama Rengou;468;8.1;13/04/2003
151;Ichioku no Otoko! Sekai Saikou Kenryoku to Kaizoku Kurohige;2009;9.3;20/04/2003
152;Fune wa Sora o Yuku! Knock-Up Stream ni Nore;492;8.2;27/04/2003
153;Koko wa Sora no Umi! Sora no Kishi to Tengoku no Mon;434;7.8;04/05/2003
154;Kami no Kuni Skypiea! Kumo no Nagisa no Tenshi-tachi;441;7.5;11/05/2003
155;Kindan no Seichi! Kami no Sumu Shima to Ten no Sabaki!;434;7.5;18/05/2003
156;Hayaku mo Hanzaisha!? Skypiea no Hou no Bannin;435;7.5;08/06/2003
157;Dasshutsu Naru ka!? Ugokihajimeta Kami no Shiren!;430;7.5;15/06/2003
158;Lovely-doori no Wana! Zennounaru God Enel;431;7.6;22/06/2003
159;Susume Karasumaru! Ikenie no Saidan o Mezase;425;7.6;06/08/2003
160;Seizonritsu 10%! Mantra-tsukai no Shinkan Satori!;429;7.7;13/08/2003
161;Tama no Shiren no Kyoui! Mayoi no Mori no Shitou;432;7.5;20/08/2003
162;Chopper Ayaushi! Motokami Tai Shinkan Shura;428;7.8;03/08/2003
163;Makafushigi! Himo no Shiren to Koi no Shiren!?;424;7.8;10/08/2003
164;Shandra no Hi o Tomose! Senshi Wiper;437;7.8;17/08/2003
165;Tenkuu no Ougonkyou Jaya! Mezase Kami no Yashiro!;416;7.7;24/08/2003
166;"Ougon Zen'yasai! ""Vearth"" e no Omoi!";425;7.4;07/09/2003
167;God Enel Toujou!! Ikinokori e no Aubade;417;7.5;21/09/2003
168;Kibamuku Uwabami! Tsui ni Hajimaru Survival Game;435;7.5;12/10/2003
169;"Sutemi no Haigeki (Reject)! ""Senki"" Wiper no Kakugo";453;7.9;19/10/2003
170;Kuuchuu no Gekisen! Kaizoku Zoro VS Senshi Braham;455;8.0;19/10/2003
171;Unaru Burn Bazooka!! Luffy VS Senki Wiper;435;7.7;26/10/2003
172;Numa no Shiren! Chopper VS Shinkan Gedatsu!!;435;7.7;02/11/2003
173;Muteki no Nouryoku! Akasareru Enel no Shoutai;446;7.8;09/11/2003
174;Maburoshi no Miyako! Yuudai Naru Shandra no Iseki!!;451;7.9;16/11/2003
175;Seizonritsu 0%!! Chopper VS Shinkan Ohm;436;7.7;21/12/2003
176;Giant Jack o Nobore!! Jouzou Iseki no Shitou;452;7.9;11/01/2004
177;Tetsu no Shiren no Shinkoccyou! Shiruibara Death Match!!;448;7.9;18/01/2004
178;Hotobashiru Zangeki! Zoro VS Shinkan Ohm!!;707;8.3;25/01/2004
179;Kuzure Yuku Jousou Iseki! Finale e no Quintet!!;464;8.1;01/02/2004
180;Kodai Iseki no Taiketsu! God Enel no Mokuteki!!;1423;8.9;08/02/2004
181;Fairy Vearth e no Yabou Hakobune Maxim!!;461;8.2;15/02/2004
182;Tsuini Gekitotsu! Kaizoku Luffy VS God Enel!!;1446;9.0;22/02/2004
183;Maxim Fujou! Ugoki Hajimeta Deathpiea!!;1429;9.0;29/02/2004
184;Luffy Rakka! Kami no Sabaki to Nami no Nozomi!!;440;8.0;07/03/2004
185;Mezameta Futari! Moeru Koi no Kyuushutsu Zensen;1027;8.6;14/03/2004
186;Zetsubou e no Capriccio Semaei Kuru Sora Shima no Shoumetsu!!;428;7.8;21/03/2004
187;Kane no Ne no Michibiki! Daisenshi to Tankenka no Monogatari;436;7.7;28/03/2004
188;Jubaku kara no Kaihou! Daisenshi ga Nagashita Namida!!;434;7.8;28/03/2004
189;Eien no Shinyuu! Oo-unabari ni Hibikuchikai no Kane!!;1448;9.0;04/04/2004
190;Angel-tou Shoumetsu! Raigou Kourin no Kyoufu!!;426;8.0;25/04/2004
191;Giant Jack o Taose! Dasshutsu e no Saigo no Nozomi;432;8.1;02/05/2004
192;Kami no Kune no Kiseki! Tenshi no Todoita Love Song;1581;9.2;09/05/2004
193;Tatakai no Shuuen! Tooku Hibiku Hokori Takaki Fantasia;435;8.0;23/05/2004
194;Ware Koko ni Itaru! Poneglyphs ga Tsumugu Mono;420;7.9;06/06/2004
195;Iza Seikai e!! Omoi ga Orinasu Saishuu Gakushou;420;7.8;13/06/2004
196;Hijoujitai Hatsurei! Akumei Takaki Kaisokusen Sennyuu!;370;7.1;20/06/2004
197;Ryourinin Sanji! Kaigun Shokudou de Shinka Hakki!;364;7.3;04/08/2004
198;Torawareru Zoro to Chopper Kinkyuu Shittou;366;7.1;11/08/2004
199;Semaru Kaigun no Sousa mou! Torawareta Futari Me!;367;7.4;18/08/2004
200;Kesshi no Luffy to Sanji! Kyuushutsu Dai Sakusen!;356;7.5;08/08/2004
201;Nekketsu Tokubetsu Butai Sansen! Bridge Koubousen!;347;7.3;05/09/2004
202;Houi Mou Toppa! Dakkan Going Merry Gou;350;7.3;19/09/2004
203;Kieta Kaizokusen! Yousai Koubou Dai 2 Round;355;7.1;26/09/2004
204;Ougon Dakkan Sakusen to Waver Kaishuu Sakusen!;345;7.2;03/10/2004
205;Ichimoudajin Keikaku! Jonathan Jishin no Hisaku;347;7.3;03/10/2004
206;Saraba Kaigun Yousai! Dasshutsu e no Saigo no Koubou;362;7.6;10/10/2004
207;Long Ring Long Land no Dai Bouken!;399;7.3;31/10/2004
208;Foxy Kaizoku Dan to Davy Back!;388;7.2;07/11/2004
209;Dai Ikkaisen! Gururi Isshuu Doughnut Race;389;7.3;14/11/2004
210;Gingitsune no Foxy! Mouretsu Bougai Kousei;393;7.2;21/11/2004
211;Dai 2 Kaisen! Buchi Kome Groggy Ring;396;7.4;28/11/2004
212;Red Card Renpatsu! Groggy Ring;385;7.6;05/12/2004
213;Dai Sankaisen! Guru Guru Roller Race!;371;7.2;12/12/2004
214;Hakunetsu Bakusou Race! Saishuu Round Totsunyuu!;365;7.5;19/12/2004
215;Unaru Netsukyuu Goukyuu! Kaizoku Dodgeball!;375;6.9;09/01/2005
216;Dangai no Kessen! Daruma-san ga Koronda!;380;6.9;09/01/2005
217;Captain Taiketsu! Saishuusen Combat!;396;7.1;16/01/2005
218;Zenkai Noro Noro Kougeki VS Fujimi no Luffy;392;7.2;23/01/2005
219;Souzetsu Nettou Combat! Unmei no Saishuu Kecchaku;386;7.5;30/01/2005
220;Ushinatta? Ubawareta? Omae wa Dare Da?;331;7.2;06/02/2005
221;Fue o Idaita Nazo no Shounen to Robin no Suiri!;331;7.0;13/02/2005
222;Iza Kioku o Dakkan Seyo! Kaizoku Dan Shima ni Jouriku;334;6.7;20/02/2005
223;Kiba o Muku Zoro! Tachihadakatta Yajuu!;329;7.1;27/02/2005
224;Honjou o Awarashita Kioku Dorobou no Saigo Gyakushuu;329;6.8;06/03/2005
225;Hokori takaki otoko! Gin Gitsune no Foxy;343;6.5;13/03/2005
226;Mottomo Muteki ni Tsuyoi Yatsu? Tomottomo Kiken na Otoko!;346;6.6;20/03/2005
227;Kaigun Honbu Taishou Aokiji! Saikou Senryoku no Kyoui;1446;8.9;27/03/2005
228;Gomu to Koori no Ikkiuchi! Luffy vs Aokiji;465;8.1;27/03/2005
229;Shissou Umi Ressha to Mizu no Toshi Water Seven;423;7.6;17/04/2005
230;Suijou Toshi no Bouken! Mokushise Kyodai Zousen Koujou;412;7.7;24/04/2005
231;Franky ikka to Iceberg san!;412;7.6;01/05/2005
232;Garera Company! Soukan Ichiban Dock;409;7.7;15/05/2005
233;Kaizoku Yuukai Jiken to Shi o Matsu Dake no Kaizokusen;413;7.8;22/05/2005
234;Nakama Kyuushutsu! Harikomi Franky House;1491;9.1;05/06/2005
235;Gekka no Oogenka! Kanashimi ni Hirugaeru Kaizokuki!;1801;9.3;12/06/2005
236;Luffy VS Usopp! Butsukaru Otoko no Iji;2308;9.5;19/06/2005
237;Genkishin Mizu no Toshi! Nerawareta Iceberg;405;7.7;03/08/2005
238;Gomu Gomu Ningen VS Ka o Fuku Cyborg;417;8.0;10/08/2005
239;Hannin wa Mugiwara Kaizukudan? Mizu no Toshi Youjinbou;408;7.8;31/08/2005
240;Eien no Wakare? Yamo o Hiku Onna Nico Robin;420;7.9;07/08/2005
241;Robin o Tsukamaero! Mugiwara Ichimi no Ketsui;407;7.6;14/08/2005
242;Aizu wa Hougeki to Tomoni! Ugokidashita CP9;426;8.1;21/08/2005
243;Kamen o Totta CP9! Sono Odoroki no Sugao;1503;9.1;04/09/2005
244;Himeta Kizuna! Iceberg to Franky;1390;8.9;11/09/2005
245;Kaete Koi Robin! CP9 to no Taiketsu!;693;8.4;18/09/2005
246;Mugiwara Kaizoku Dan Zenmetsu? Model Leopard no Kyoui;416;8.0;23/10/2005
247;Fune kara mo Aisareta Otoko! Usopp no Namida!;412;8.0;30/10/2005
248;Franky no Kako! Umi ressha ga Hashitta Hi;423;8.1;06/11/2005
249;Spandum no Inbou! Umi Ressha ga Yureta Hi;426;8.1;13/11/2005
250;Densetsu no Otoko no Saigo! Umi Ressha ga Naita Hi;1344;8.9;27/11/2005
251;Uragiri no Shinsou! Robin no Kanashiki Ketsui!;1189;8.8;27/11/2005
252;Nakama o Hikihanasu Kiteki! Hashiridasu Umi Ressha;401;7.9;04/12/2005
253;Sanji Totsunyuu! Arashi no Naka no Umiressha Battle!;406;7.7;11/12/2005
254;Nami Tamashii no Sakebi! Mugiwara no Luffy Fukkatsu!;411;8.0;22/01/2006
255;Mou Hitotsu no Umi Ressha! Rocketman Shutsugeki;397;7.9;29/01/2006
256;Nakama o Sukue! Tekidoushi ga Musunda Chikai no Kizuna!;400;7.8;05/02/2006
257;Nami o Kudake! Luffy to Zoro no Saikyou Combo;403;8.0;26/02/2006
258;Nazo no Otoko Toujou!? Sono Na wa Sogeking!;422;8.0;05/03/2006
259;Kokku Taiketsu! Sanji vs Ramen Kenpou;392;7.4;12/03/2006
260;Yane no Ue no Kettou! Franky VS Nero;392;7.7;19/03/2006
261;Gekitotsu! Onigiri Zoro VS Funekiri T-Bone;400;7.9;02/04/2006
262;Robin Soudatsusen! Sogeking no Kisaku!!;671;8.3;16/04/2006
263;Shihou no shima! Enies Lobby!;399;8.0;30/04/2006
264;Jouriku Sakusen Shidou! Mugiwara Ichimi Totsunyuu Seyo!;405;8.1;21/05/2006
