Episode;Title;Votes;Rating;Airdate
265;Luffy Kaishingeki! Shihou no Shima de Daikessen!!;402;7.9;04/06/2006
266;Kyojinzoku to no Koubou! Daini no Tobira o Akero!;394;7.8;11/06/2006
267;Katsuro o Hirake! Sora o Tobu Rocketman!;402;7.9;18/06/2006
268;Luffy ni Oitsuke! Mugiwara Ichimi Souryokusen;398;8.0;25/06/2006
269;Uragirareta Robin! Sekai Seifu no Omowaku!;399;8.0;25/06/2006
270;Robin o Kaese! Luffy VS Blueno!;1027;8.6;02/08/2006
271;Tachidomaru na! Hangeki no Noroshi o Agero!;401;8.1;09/08/2006
272;Luffy Mokuzen! Saibansho Mae hiroba e Shuuketsu Seyo;434;8.2;23/08/2006
273;Subete wa Nakama o Mamoru Tame ni! Gear Second Hatsudou;1604;9.2;30/08/2006
274;Kotaero Robin! Mugiwara Ichimi no Sakebi!!;1786;9.3;06/08/2006
275;Robin no Kako! Akuma to Yobareta Shoujo!;1434;8.9;13/08/2006
276;Shukumei no Oyako! Sono Haha no Na wa Orubia!;1424;9.0;10/09/2006
277;Ohara no Higeki! Buster Call no Kyoufu;1664;9.3;24/09/2006
278;Ikitai to Ie! Oretachi wa Nakama Da!!;2692;9.7;24/09/2006
279;Taki ni Mukatte Tobe!! Luffy no Omoi!!;343;6.5;01/10/2006
280;Otoko no Ikizama! Zoro no Waza, Usopp no Yume;333;6.1;08/10/2006
281;Namida ga Tsumuida Nakama no Kizuna! Nami no Sekai Chizu;345;6.2;15/10/2006
282;Wakare ga Otoko o Migaku! Sanji to Chopper;327;6.1;22/10/2006
283;Subete wa Nakama no Tame ni! Yami no Naka no Robin!;332;6.0;29/10/2006
284;Sekkeizu wa Watasanai! Franky no Ketsudan;408;8.0;05/11/2006
285;Itsutsu no Kagi o Ubae! Mugiwara Ichimi Tai CP9;392;7.9;12/11/2006
286;Akuma no Mi no Chikara! Kaku to Jabra Daihenshin;395;8.0;19/11/2006
287;Shinde mo Keran! Sanji Otoko no Kishidou!;392;7.9;26/11/2006
288;Fukurou no Gosan! Ore no Cola wa Inochi no Mizu!;402;8.2;03/12/2006
289;Zoro Shinwaza Sakuretsu! Katana no Na wa Sogeking?;406;8.1;10/12/2006
290;Seigyo Funou! Chopper Kindan no Rumble;754;8.5;17/12/2006
291;Luffy Oyabun Futatabi! Yume ka Utsutsu ka Tomikuji Soudou;357;6.0;24/12/2006
292;Oshiro de Mochimaki Dai Race! Akai Hana no Inbou;398;5.7;07/01/2007
293;Awa Tsukai Kalifa! Nami ni Semaru Sekken no Wana;400;7.9;14/01/2007
294;Hibikiwataru Kyouhou! Hatsudou Buster Call;391;8.1;21/01/2007
295;Gonin no Nami? Hangeki wa Shinkirou to Tomo ni!;382;7.7;28/01/2007
296;Nami no Ketsudan! Bousou Chopper o Ute!;410;8.1;04/02/2007
297;Kariudo Sanji Toujou? Usotsuki Ookami ni Okuru Banka;398;8.1;11/02/2007
298;Shakunetsu no Keri! Sanji Ashiwaza no Full Course;716;8.5;25/02/2007
299;Hakujin no Moushuu! Zoro Tai Kaku Kyouryoku Zangeki Taiketsu;421;8.2;04/03/2007
300;Kishin Zoro! Kihaku ga Miseta Asura no Keshin;1590;9.2;11/03/2007
301;Spandam Kyougaku! Shihou no Tou ni Tatsu Eiyuu;1520;9.2;18/03/2007
302;Robin Kaihou! Luffy Tai Lucci Choujou Kessen;408;8.1;25/03/2007
303;Hannin wa Luffy Oyabun? Kieta Oozakura o Oe;330;6.0;01/04/2007
304;Katenakya Daremo Mamorenai! Gear Third Shidou;1454;9.0;08/04/2007
305;Senritsu no Kako! Yami no Seigi to Rob Lucci;1375;8.9;15/04/2007
306;Maboroshi no Ningyo Arawaru? Usureyuku Ishiki no Naka de;405;8.0;22/04/2007
307;Houka ni Shizumu Shima! Franky Munen no Sakebi;568;8.2;29/04/2007
308;Luffy o Mate! Tamerai no Hashi no Shitou!;1427;9.0;06/05/2007
309;Kobushi ni Kometa Omoi! Luffy Konshin no Gatling;2521;9.5;13/05/2007
310;Tomo, Umi yori Kitaru! Mugiwara Ichimi Saikyou no Kizuna;1471;9.1;20/05/2007
311;Zen'in Dai Dasshutsu! Shousha no Michi wa Kaizoku no Tame ni;1382;9.0;27/05/2007
312;Arigatou Merry! Yuki ni Kemuru Wakare no Umi;2669;9.6;03/06/2007
313;Yaburareta Ansoku! Ai no Kobushi o Motsu Kaigun Chuujou;1025;8.7;10/06/2007
314;Saikyou no Kakei? Akasareta Luffy no Chichi!;1581;9.1;17/06/2007
315;Sono Na wa Shinsekai! Grand Line no Yukue;434;8.2;24/06/2007
316;Shanks Ugoku! Bousou Suru Jidai e no Kusabi;1604;9.1;01/08/2007
317;Yagara o Sagasu Shoujo! Mizu no Miyako Daisousasen;327;6.3;08/08/2007
318;Haha wa Tsuyoshi! Zoro no Dotabata Kaji Tetsudai;347;6.1;15/08/2007
319;Sanji Shougeki! Nazo no Jii-san to Gekiuma Ryouri;322;6.6;22/08/2007
320;Tsui ni Zen'in Shoukin Kubi! 6-okugoe no Ichimi!;401;8.0;19/08/2007
321;Umi o Nozomu Hyakujuu no Ou! Yume no Fune Doudou Kansei!;382;7.9;26/08/2007
322;Saraba Itoshiki Kobun-tachi! Franky Tatsu;385;8.0;02/09/2007
323;Shukkou Mizu no Miyako! Otoko Usopp Kettou no Kejime;414;8.3;09/09/2007
324;Meguru Tehaisho! Kokyou wa Odoru Fune wa Susumu!;397;8.1;16/09/2007
325;Saikyou no Nouryoku! Ace o Osou Kurohige no Yami;1598;9.2;23/09/2007
326;Nazo no Kaizoku Goikkou! Sunny-gou to Kiken na Wana;302;6.8;14/10/2007
327;Sunny-gou Pinch! Unare Chousoku no Himitsu Mecha;305;6.3;21/10/2007
328;Shinsekai ni Shizumu Yume! Shitsui no Kaizoku Puzzle;305;6.4;28/10/2007
329;Osoikuru Shikaku-tachi! Hyoujou Dai Battle Kaishi;300;6.6;04/11/2007
330;Dai Kusen Mugiwara Ichimi! Hata ni Kakeru Kaizoku Tamashii;297;6.4;11/11/2007
331;Atsukurushisa Zenkai! Semaru Futago no Jiryoku Power;300;6.5;18/11/2007
332;Dai Konran no Yakata! Ikaru Don to Toraware no Ichimi;296;6.5;25/11/2007
333;Fushichou Futatabi! Tomo ni Chikau Kaizokuki no Yume;299;6.4;02/12/2007
334;Atsu Atsu Choukessen! Luffy VS Shakunetsu no Don;295;6.7;09/12/2007
335;Shin Sekai de Matsu! Isamashiki Kaizoku to no Wakare;295;6.7;16/12/2007
336;Shutsudou Chopperman! Mamore Nagisa no TV-kyoku;437;5.3;23/12/2007
337;Ma no Umi Totsunyuu! Kiri ni Ukabu Nazo no Gaikotsu;409;8.2;06/01/2008
338;Hito ni Aeta Yorokobi! Gaikotsu Shinshi no Shoutai;375;8.0;13/01/2008
339;Kai Genshou Zokuzoku! Thriller Bark Jouriku;364;7.6;20/01/2008
340;Tensai to Yobareta Otoko! Hogback Arawaru!;360;7.6;27/01/2008
341;Nami Dai Pinch! Zombie Yashiki to Toumei Ningen;370;7.7;03/02/2008
342;Zombie no Nazo! Akumu no Hogback Kenkyuujo;358;7.6;10/02/2008
343;Sono Na wa Moriah! Kage o Nigiru Dai Kaizoku no Wana;345;7.6;17/02/2008
344;Zombie Song no Kyouen! Youchi no Kane wa Yami no Oto;351;7.5;24/02/2008
345;Doubutsu Ippai? Perona no Wonder Garden;346;7.1;02/03/2008
346;Kieru Mugiwara Ichimi! Arawareta Nazo no Kenshi!;339;7.6;09/03/2008
347;Nokoru Kishidou! Nami o Mamoru Uragiri Zombie;345;7.5;16/03/2008
348;Sora kara Sanjou! Kenkyou Hanauta wa Ano Otoko!;349;7.8;23/03/2008
349;Luffy Kinkyuujitai! Saikyou no Kage no Ikisaki;351;7.8;30/03/2008
350;Majin to Yobareta Senshi!! Oz Fukkatsu no Toki;345;7.8;20/04/2008
351;500-nenburi no Mezame!! Oars Kaigan!!;346;7.6;27/04/2008
352;Shinnen no Inochigoi!! Afro o Mamoru Brook;349;7.6;04/05/2008
353;Otoko no Chikai wa Shinazu!! Tooi Sora de Matsu Tomo e;382;8.1;11/05/2008
354;Kanarazu Ai ni Iku!! Brook to Yakusoku no Misaki;350;7.3;18/05/2008
355;Meshi to Nami to Kage!! Luffy Ikari no Daihangeki;338;7.7;25/05/2008
356;Usopp Saikyou? Negative wa Makasetoke;341;7.7;01/06/2008
357;General Zombie Shunsatsu!! Oars wa Bouken Kibun!!;346;7.8;08/06/2008
358;Honoo no Knight Sanji!! Keritsubuse Itsuwari no Kyoshiki;342;7.6;15/06/2008
359;Suke Suke no Innen? Ubawareta Sanji no Yume;347;7.6;22/06/2008
360;Tasukete Hero!? Teki wa Fujimi no Princess;347;7.8;29/06/2008
361;Perona Kyoufu!? Uso no U wa Usopp no U;351;7.8;06/08/2008
362;Yane ni Mau Zangeki!! Kecchaku Zoro Tai Ryuuma;390;8.1;13/08/2008
363;Chopper Gekido!! Hogback Ma no Ijutsu;337;7.6;20/08/2008
364;Oz Hoeru!! Detekoi Mugiwara no Ichimi;341;7.3;03/08/2008
365;Teki wa Luffy!! Saikyou Zombie Tai Mugiwara no Ichimi;339;7.6;10/08/2008
366;Taorero Absalom!! Nami Yuujou no Raigeki!!;338;7.6;17/08/2008
367;Ubae Down!! Hissatsu Mugiwara Docking?;355;8.1;24/08/2008
368;Ashioto Naki Shuurai!! Nazo no Boumonsha: Boukun Kuma;348;8.0;31/08/2008
369;Oars Plus Moriah: Chikara to Zunou no Saikyou Gattai;353;8.0;07/09/2008
370;Gyakuten e no Hisaku: Nightmare Luffy Kenzan;353;8.0;14/09/2008
371;Kaimetsu, Mugiwara Ichimi: Kagekage no Chikara Zenkai;356;8.1;21/09/2008
372;Chouzetsu Battle Start! Luffy vs Luffy;1344;9.0;28/09/2008
373;Kecchaku Semaru! Tatakikome, Todome no Ichigeki;1207;8.9;05/10/2008
374;Karada ga Kieru! Akumu no Shima ni Sasu Asahi!;559;8.3;12/10/2008
375;Owaranai Kiki! Mugiwara Ichimi Massatsu Shirei;378;8.1;19/10/2008
376;Subete o Hajiku: Kuma no Nikyunikyu no Chikara;1460;9.0;09/11/2008
377;Nakama no Itami wa Waga Itami: Zoro Kesshi no Tatakai;4035;9.7;16/11/2008
378;Tooi Hi no Yakusoku: Kaizoku no Uta to Chiisana Kujira;392;8.1;23/11/2008
379;Brook no Kako: Youki na Nakama Kanashiki Wakare;383;8.0;30/11/2008
380;Binks no Sake: Kako to Genzai o Tsunagu Uta;1577;9.2;07/12/2008
381;Arata na Nakama! Ongakuka Hanauta no Brook;385;8.1;14/12/2008
382;Noronoro no Kyoui: Gingitsune no Foxy Futatabi;309;6.4;21/12/2008
383;Otakara Daisoudatsusen! Houkai! Spa Island Gou;310;6.4;28/12/2008
384;Brook's Hard Struggle the Difficult Path to Becoming a True C...;320;7.2;11/01/2009
385;Halfway Through the Grand Line Arrival! The Red Line;354;7.5;18/01/2009
386;Hatred of the Straw Hat Crew Enter Iron Mask Duval;352;7.5;25/01/2009
387;The Fated Reunion! Save the Imprisoned Fishman;350;7.4;01/02/2009
388;Tragedy! The Truth of the Unmasked Duval;354;7.7;08/02/2009
389;Explosion! The Sunny's Super Secret Weapon Gaon Cannon;354;7.7;15/02/2009
390;Gyojin-tou o Mezashite Jouriku: Sabaody Shotou;451;7.6;22/02/2009
391;Bougyaku! Sabaody no Shihaisha Tenryuubito;583;8.0;01/03/2009
392;Arata na Rival Shuuketsu! 11-nin no Choushinsei;649;8.2;08/03/2009
393;Hyouteki wa Camie!! Semaru Hitosaraiya no Mashu;611;8.0;15/03/2009
394;Camie o Sukue: Shotou ni Nokoru Ankoku no Rekishi;597;8.0;29/03/2009
395;Time Limit: Human Auction Kaimaku;638;8.2;05/04/2009
396;Tekken Sakuretsu! Auction o Buttsubuse;2230;9.5;12/04/2009
397;Dai Panic! Auction Kaijou no Shitou;1789;9.3;19/04/2009
398;Taishou Kizaru Ugoku! Souzen Sabaody Shotou;1380;9.0;26/04/2009
399;Houimou o Toppa Seyo! Kaigun Tai Sannin no Senchou;1367;9.0;03/05/2009
400;Roger to Rayleigh: Kaizoku Ou to Sono Migiude;1697;9.3;10/05/2009
401;Kaihi Fukanou!? Taishou Kizaru no Kousoku no Keri;1388;9.0;17/05/2009
402;Attouteki! Kaigun no Sentou Heiki Pacifista;1409;9.1;24/05/2009
403;Saranaru Kyouteki Arawaru! Masakari Katsuida Sentoumaru;1444;9.1;31/05/2009
404;Taishou Kizuru no Moukou Mugiwara Ichimi Zettaizetsumei!;1952;9.4;07/06/2009
405;Kesareta Nakama-tachi: Mugiwara Ichimi Saigo no Hi;3293;9.7;14/06/2009
406;Jidaigeki Tokubetsu Hen: Luffy Oyabun Futatabi Kenzan;321;5.9;21/06/2009
407;Jidaigeki Tokubetsu Hen: Yabure! Thriller Shoukai no Wana;320;5.8;28/06/2009
408;Jouriku! Danshi Kinsei no Shima Amazon Lily;456;7.7;05/08/2009
409;Isoge! Nakama-tachi no Moto e: Nyougashima no Bouken;484;7.7;12/08/2009
410;Minna Meromero! Kaizoku Jotei Hancock;490;7.8;19/08/2009
411;Senaka ni Kakusareta Himitsu: Souguu Luffy to Hebihime;578;7.8;02/08/2009
412;Hijou no Sabaki! Ishi ni Sareta Margaret!!;859;8.4;09/08/2009
413;Luffy Daikusen! Hebi Shimai no Haki no Chikara!!;1361;8.9;16/08/2009
414;Nouryoku Zenkai Battle!! Gomugomu Tai Hebihebi;934;8.6;23/08/2009
415;Hancock no Kokuhaku: Shimai no Imawashiki Kako;1288;8.9;30/08/2009
416;Ace o Sukue! Arata na Mokutekichi wa Daikangoku;876;8.5;06/09/2009
417;Koi wa Hurricane! Meromero Hancock;885;8.5;13/09/2009
418;Nakama-tachi no Yukue: Tenkou no Kagaku to Karakurijima;343;7.5;20/09/2009
419;Nakama-tachi no Yukue: Kyochou no Shima to Momoiro no Rakuen!;348;7.1;27/09/2009
420;Nakama-tachi no Yukue: Shima o Tsunagu Hashi to Shokujin Shok...;342;7.5;04/10/2009
421;Nakama-tachi no Yukue: Negative Princess to Akuma Ou;345;7.6;11/10/2009
422;Kesshi no Sennyuu! Kaitei Kangoku Impel Down Sennyuu!;354;7.8;18/10/2009
423;Jigoku de Saikai!? Bara Bara no Mi no Jitsuryokusha!;358;7.9;25/10/2009
424;Yabure! Guren Jigoku: Buggy no Dohade Daisakusen;350;7.8;01/11/2009
425;Kangoku Saikyou no Otoko! Doku Ningen Magellan Toujou;347;7.8;08/11/2009
426;Eiga Rendou Special: Ugokidasu Kinjishi no Yabou;284;6.7;15/11/2009
427;Eiga Rendou Special: Nerawareta Little East Blue;285;6.4;22/11/2009
428;Eiga Rendou Special: Amigo Kaizokudan no Moukou;283;6.3;29/11/2009
429;Eiga Rendou Special: Kessen! Luffy Tai Largo;284;6.3;06/12/2009
430;Toraware no Ouka Shichibukai! Kaikyou no Jinbee;351;7.7;13/12/2009
431;Roubanchou Saldeath no Wana: Level 3 Kiga Jigoku;347;7.6;20/12/2009
432;Tokihanatareta Swan! Saikai! Bon Clay;368;7.9;27/12/2009
433;Shochou Magellan Ugoku: Kansei! Mugiwara Houimou;382;8.0;10/01/2010
434;Zensenryoku Shuuketsu! Level 4 Shounetsu Jigoku no Kessen;357;7.7;17/01/2010
435;Magellan Tsuyoshi! Bon Clay Tekizen Toubou;397;8.1;24/01/2010
436;Shiyuu Kessu! Sutemi no Luffy Saigo no Ichigeki;451;8.2;31/01/2010
437;Dachi Dakara: Bon Clay Kesshi no Kyuushutsukou;401;8.0;07/02/2010
438;Jigoku ni Rakuen! Impel Down Level 5.5;354;7.5;14/02/2010
439;Luffy Chiryou Kaishi: Ivan-san Kiseki no Chikara!!;363;7.4;21/02/2010
440;Kiseki o Shinjite! Bon Clay Tamashii no Seien;364;7.7;28/02/2010
441;Luffy Fukkatsu! Iwa-san Datsugoku Keikaku Shidou!!;361;7.9;07/03/2010
442;Ace Gosou Kaishi: Saikasou Level 6 no Koubou!;382;8.1;14/03/2010
443;Saikyou Team Kessei: Shinkan! Inpel Down;375;8.1;21/03/2010
444;Saranaru Konran! Kurohige Teach Shuurai!;377;8.1;28/03/2010
445;Kiken na Deai! Kurohige to Ame no Shiryuu;354;7.8;04/04/2010
446;Iji demo Taorenu! Honki no Hannyabaru;555;8.3;11/04/2010
447;Ikari no Jet Pistol: Luffy vs Kurohige;1467;9.0;18/04/2010
448;Magellan o Tomero! Iva-san Ougi Sakuretsu;362;7.9;25/04/2010
449;Magellan no Kisaku! Habamareta Datsugoku Keikaku;377;8.1;02/05/2010
450;"Datsugoku Team Zettaizetsumei: Kinjite ""Venom Demon""";1216;8.9;09/05/2010
451;Okose Saigo no Kiseki: Seigi no Mon o Toppa Seyo;1,6;9.2;16/05/2010
452;Mezase Kaigun Honbu: Ace Kyuushutsu e no Funade!;354;7.9;23/05/2010
453;Nakama-tachi no Yukue: Weatheria Report to Cyborg Animal;322;7.1;30/05/2010
454;Nakama-tachi no Yukue: Kyochou no Hina to Momoiro no Taiketsu;341;6.5;06/06/2010
455;Nakama-tachi no Yukue: Kakumeigun to Boushoku no Mori no Wana!;321;7.1;13/06/2010
456;Nakama-tachi no Yukue: Kyodai na Bohyou to Pantsu no On;324;7.1;20/06/2010
457;Marineford Chokuzen Kaisou Special: Kyoudai no Chikai!;321;6.8;27/06/2010
458;Marineford Chokuzen Kaisou Special: Shuuketsu! San Taishou;350;6.7;11/08/2010
459;Kessen no Toki Semaru! Kaigun Saikyou no Fujin Kansei!;1518;9.0;18/08/2010
460;Kyodai Kantai Arawaru: Shuurai! Shirohige Kaizokudan;1542;9.1;01/08/2010
461;Kessen no Makuake! Ace to Shirohige no Kako;1704;9.2;08/08/2010
462;Sekai o Horobosu Chikara! Guragura no Mi no Nouryoku;1529;9.1;15/08/2010
463;Subete o Yakitsukusu!! Taishou Akainu no Chikara!;1604;9.2;22/08/2010
464;Majin no Shison! Little Oars Jr. Bakushin!;1509;9.1;29/08/2010
465;Shousha dake ga Seigi Hatsudou! Sengoku no Sakusen!;1596;9.2;05/09/2010
466;Mugiwara Team Touchaku Fuunkyuu o Tsugeru Senjou;1831;9.4;12/09/2010
467;Shinde mo Tasukeru: Luffy vs Kaigun Battle Start;1717;9.3;19/09/2010
468;Gekisen no Renzoku! Nouryokusha Gundan VS Nouryokusha Gundan;1575;9.2;26/09/2010
469;Kuma ni Okita Ihen Iva-san Ikari no Ichigeki;1481;9.0;03/10/2010
470;Kengou Mihawk Luffy ni Semaru Kokutou no Zangeki;1518;9.2;10/10/2010
471;Senmetsu Sakusen Shidou: Pacifista Gundan no Iryoku;1475;9.1;17/10/2010
472;Akainu no Bouryaku! Otoshiirerareta Shirohige;1537;9.2;24/10/2010
473;Houiheki Sadou! Shirohige Kaizokudan Zettaizetsumei!!;1479;9.1;31/10/2010
474;Shokei Shikkou Shirei Kudaru: Houiheki o Toppa Seyo!;1844;9.4;07/11/2010
475;Saishuu Kyokumen Totsunyuu! Shirohige Kishikaisei no Itte;1595;9.3;14/11/2010
476;Luffy Chikaratsuku! Oris Hiroba no Souryokusen!!;1545;9.2;21/11/2010
477;Inochi o Kezuru Chikara: Tension Hormone Futatabi;1483;9.1;28/11/2010
478;Yakusoku no Tame ni!! Gekitou! Luffy to Coby;1650;9.3;05/12/2010
479;Shokeidai Mokuzen! Hirakareta Ace e no Michi!!;1507;9.2;12/12/2010
480;Sorezore no Eranda Michi: Luffy vs Garp!;1902;9.4;19/12/2010
481;Ace Kyuushutsu! Shirohige Saigo no Senchou Meirei!;2218;9.5;26/12/2010
482;Hi o mo Yaki Tsukusu Chikara: Akainu Hijou no Tsuigeki;3116;9.6;09/01/2011
483;Kotae o Sagashite: Hiken Ace Senjou ni Shisu;4717;9.8;16/01/2011
484;Kaigun Honbu Houkai! Shirohige Kotobanaki Ikari!;2868;9.7;23/01/2011
485;Kejime o Tsukeru: Shirohige vs Kurohige Kaizokudan;3999;9.8;30/01/2011
486;Show no Kaimaku: Akasareta Kurohige no Takurami;1849;9.4;06/02/2011
487;Akainu no Shuunen! Luffy o Osou Magma no Kobushi;1618;9.2;13/02/2011
488;Hisshi no Sakebi: Unmei o Kaeru Yuuki Aru Suubyou;2260;9.5;20/02/2011
489;Shanks Kenzan! Choujou Sensou Tsui ni Shuuketsu;2203;9.5;06/03/2011
490;"Gun'yuu Kakkyo Su! ""Atarashii Jidai"" no Hajimari!";962;8.4;20/03/2011
491;Nyougashima Jouriku: Luffy o Semeru Kakoku na Genjitsu;997;8.5;27/03/2011
492;Saikyou Tag! Funtou, Luffy to Toriko!;353;5.6;03/04/2011
493;Luffy to Ace: Kyoudai no Deai no Monogatari!;890;8.3;10/04/2011
494;Sabo Toujou! Gray Terminal no Shounen;636;8.1;17/04/2011
495;Ore wa Nigenai: Ace Kesshi no Kyuushutsu Sakusen;577;7.8;24/04/2011
496;Itsuka Umi e! Sannin no Akudou Chikai no Sakazuki!;634;8.0;01/05/2011
497;Dadan Ikka to no Wakare!? Kansei! Himitsu Kichi;569;7.8;08/05/2011
498;Luffy Deshiiri!? Kaizoku Ou to Tatakatta Otoko!;417;7.4;15/05/2011
499;Ootora to no Kessen! Senchou ni Naru no wa Dare Da!;410;7.4;22/05/2011
500;Ubawareta Jiyuu! Sankyoudai ni Semaru Kizoku no Wana;469;7.7;29/05/2011
501;Hanatareta Honoo: Gray Terminal no Kiki;465;7.8;05/06/2011
502;Jiyuu wa Doko ni Aru? Shounen no Kanashiki Funade;498;7.8;12/06/2011
503;Yoroshiku Tanomu! Kyoudai kara Todoita Tegami!;1334;8.9;19/06/2011
504;Yakusoku o Hatasu Tame: Sorezore no Tabidachi!;624;8.2;26/06/2011
505;Aitsura ni Aitee! Luffy Namida no Sakebi;1390;9.0;03/08/2011
506;Mugiwara no Ichimi Gekishin! Motarasareta Kyouhou;575;7.9;10/08/2011
507;Meiou Rayleigh to no Saikai: Luffy Ketsudan no Toki;570;7.9;17/08/2011
508;Senchou no Moto e: Sorajima no Datsugoku to Fuyujima no Jiken;396;7.3;31/08/2011
509;Sesshoku! Daikengou Mihawk: Zoro Iji no Shitou;400;7.7;07/08/2011
510;Sanji no Junan: Oukoku e to Kikan Shita Joou!;391;7.5;14/08/2011
511;Masaka no Saijouriku! Luffy Marineford e!;434;8.1;21/08/2011
512;Nakama ni Todoke: Kakemeguru Dai News!;422;7.8;28/08/2011
513;Ugokidasu Kaizoku-tachi! Kyoutendouchi no Shinsekai;391;7.4;04/09/2011
514;Jigoku o Ikinuke: Sanji Otoko o Kaketa Shoubu;385;7.3;11/09/2011
515;Madamada Tsuyoku Naru! Zoro Senchou e no Chikai;396;7.8;18/09/2011
516;Luffy Shugyou Kaishi: 2-nengo ni Yakusoku no Basho de;1458;9.1;25/09/2011
517;Shinshou Kaimaku: Saishuuketsu! Mugiwara no Ichimi;1566;9.1;02/10/2011
518;Isshokusokuhatsu! Luffy Tai Nise Luffy;647;8.2;09/10/2011
519;Kaigun Shutsudou: Nerawareta Mugiwara no Ichimi;585;7.9;16/10/2011
520;Oomono Shuuketsu: Nise Mugiwara Ichimi no Kyoui;525;7.8;23/10/2011
